
LOGIN           PLAYER          AVATAR          #QUESTS
--------------- --------------- --------------- -----------
agnetha         Sarah           Flit                      3
agnetha         Sarah           Flutter Shy               2
agnetha         Sarah           Whisp                     1
astral          Jessie          Elphaba                   4
astral          Jessie          Lightning                 5
bobby           Robert          Smiley                    1
bobby           Robert          Steve                     1
bobby           Robert          Wayne                     6
cait            Caitlin         Cait                      5
dazzle          Alice           Beckham                   2
dazzle          Alice           Landshark                 3
dougy           Douglas         Wayne                     3
dougy           Douglas         Zounds                    2
growley         Franck          Gandalf                   5
growley         Franck          Rocky                     3
hills           Hillary         Fluffs                    3
hills           Hillary         Ged                       4
lurker          Mark            Mousey                    9
macho           Tony            Bash                      1
macho           Tony            Kawaii                    1
macho           Tony            Scream                    3
ollie           Oliver          Ralf                      3
ollie           Oliver          Tooth                     2
storm           Felicia         Beyonce                   3
storm           Felicia         Lazarus                   2
storm           Felicia         Nibbles                   3
surfette        Zeripha         Mia                       4
surfette        Zeripha         Zerf                      3
thesix          Drake           Beckham                   2
thesix          Drake           Sweetiepie                6
zedster         Quenton         Horatio                   2
zedster         Quenton         Marvin                    5
zoood           Daena           Sherlock                  3
zoood           Daena           Smiley                    4

  34 record(s) selected.
